Group,Model,Feature,Importance,Importance_SD,Method,Rank
AD,XGBoost,cdr_community_mean,0.002884176032024255,0.0031197553946531458,Permutation importance (test RMSE),15
AD,XGBoost,cdr_global_last,0.0025472396269370897,0.001968490814769319,Permutation importance (test RMSE),16
AD,XGBoost,ldl_mean,0.0019199436184335506,0.0014984437070203792,Permutation importance (test RMSE),17
AD,XGBoost,casi_attention_mean,0.0019063165380296537,0.003315227933009295,Permutation importance (test RMSE),18
AD,XGBoost,cdr_memory_last,0.0018883105474397227,0.0014508720480380787,Permutation importance (test RMSE),19
AD,XGBoost,casi_short_term_memory_mean,0.0018289212071751465,0.003222199476485432,Permutation importance (test RMSE),20
CU,Random Forest,mmse_last,0.008691973662773684,0.009351085401521422,Permutation importance (test RMSE),1
CU,Random Forest,education_last,0.006962008887984694,0.003621408326632453,Permutation importance (test RMSE),2
CU,Random Forest,education_max,0.0059456713389055005,0.0034564487342076187,Permutation importance (test RMSE),3
CU,Random Forest,education_mean,0.005658736422624688,0.004179101373343237,Permutation importance (test RMSE),4
CU,Random Forest,apoe_missing_min,0.0048561233892870145,0.006353877030850541,Permutation importance (test RMSE),5
CU,Random Forest,education_min,0.004585342032371487,0.003573427235273401,Permutation importance (test RMSE),6
CU,Random Forest,mmse_mean,0.0038370677445674515,0.004356071794401779,Permutation importance (test RMSE),7
CU,Random Forest,apoe4_count_min,0.0038060244157469224,0.00521796110653526,Permutation importance (test RMSE),8
CU,Random Forest,apoe_missing_max,0.003402288145526461,0.004100632263676377,Permutation importance (test RMSE),9
CU,Random Forest,apoe_missing_mean,0.0022691499303557463,0.0033592820076623156,Permutation importance (test RMSE),10
CU,Random Forest,apoe4_count_last,0.002124807031713816,0.0028539096139983348,Permutation importance (test RMSE),11
CU,Random Forest,apoe_missing_last,0.0019214752591149465,0.0031441209399889506,Permutation importance (test RMSE),12
CU,Random Forest,triglyceride_std,0.0017470835443723631,0.0014533806230818134,Permutation importance (test RMSE),13
CU,Random Forest,apoe4_count_max,0.001208439721194754,0.0026880504026087445,Permutation importance (test RMSE),14
CU,Random Forest,apoe4_count_mean,0.0012002759156225285,0.0028922942034066406,Permutation importance (test RMSE),15
CU,Random Forest,mmse_min,0.001017816506348207,0.004151726427441786,Permutation importance (test RMSE),16
CU,Random Forest,vldl_last,0.0009785815622318783,0.001312422143956631,Permutation importance (test RMSE),17
CU,Random Forest,casi_short_term_memory_max,0.0009139137309545798,0.0008726560912558188,Permutation importance (test RMSE),18
CU,Random Forest,casi_abstraction_mean,0.0007894831519790313,0.0005939577060127657,Permutation importance (test RMSE),19
CU,Random Forest,vldl_std,0.0007520735317180227,0.0006655580120858833,Permutation importance (test RMSE),20
CU,SVM,history_span_days,0.12446622486791994,0.14531346160884362,Permutation importance (test RMSE),1
CU,SVM,total_cholesterol_max,0.0003784542130366608,0.00024740497108434505,Permutation importance (test RMSE),2
CU,SVM,ldl_max,0.0002905308387602723,0.00020619448709673327,Permutation importance (test RMSE),3
CU,SVM,apoe_missing_mean,0.00023963628767311728,0.00015670054221046152,Permutation importance (test RMSE),4
CU,SVM,apoe_missing_max,0.00023963628767311728,0.00015670054221046152,Permutation importance (test RMSE),5
CU,SVM,apoe_missing_last,0.00023963628767311728,0.00015670054221046152,Permutation importance (test RMSE),6
CU,SVM,apoe_missing_min,0.00023963628767247335,0.00015670054221029363,Permutation importance (test RMSE),7
CU,SVM,casi_abstraction_min,0.00013869319994710416,9.361719023429096e-05,Permutation importance (test RMSE),8
CU,SVM,total_cholesterol_mean,0.00013189666054390646,0.000191012737169171,Permutation importance (test RMSE),9
CU,SVM,ldl_mean,0.0001216273239565413,0.0001426013768518858,Permutation importance (test RMSE),10
CU,SVM,age_first_mmse_max,0.0001185936385269759,8.081730621289123e-05,Permutation importance (test RMSE),11
CU,SVM,age_first_mmse_mean,0.0001185936385269759,8.081730621289123e-05,Permutation importance (test RMSE),12
CU,SVM,age_first_mmse_min,0.00011859363852334548,8.081730621416444e-05,Permutation importance (test RMSE),13
CU,SVM,age_first_mmse_last,0.00011859363852334548,8.081730621416444e-05,Permutation importance (test RMSE),14
CU,SVM,casi_verbal_fluency_min,0.00011705893611586582,9.184701907963844e-05,Permutation importance (test RMSE),15
CU,SVM,apoe4_count_last,0.00011179140637902485,7.532236038794303e-05,Permutation importance (test RMSE),16
CU,SVM,apoe4_count_mean,0.00011179140637902485,7.532236038794303e-05,Permutation importance (test RMSE),17
CU,SVM,apoe4_count_max,0.00011179140637902485,7.532236038794303e-05,Permutation importance (test RMSE),18
CU,SVM,apoe4_count_min,0.00011179140637813667,7.532236039100864e-05,Permutation importance (test RMSE),19
CU,SVM,casi_short_term_memory_max,0.00011109057433753567,5.436393411149906e-05,Permutation importance (test RMSE),20
CU,XGBoost,mmse_last,0.04041538370639345,0.027692032635567247,Permutation importance (test RMSE),1
CU,XGBoost,apoe4_count_last,0.02546625690736067,0.019102961164997566,Permutation importance (test RMSE),2
CU,XGBoost,mmse_std,0.02320797973377184,0.0563219260797042,Permutation importance (test RMSE),3
CU,XGBoost,casi_verbal_fluency_std,0.018766006168771283,0.012709101488533775,Permutation importance (test RMSE),4
CU,XGBoost,education_last,0.01270330645047878,0.012679216324919411,Permutation importance (test RMSE),5
CU,XGBoost,vldl_std,0.010509917264389818,0.005486969796540344,Permutation importance (test RMSE),6
CU,XGBoost,casi_short_term_memory_max,0.010085776407873387,0.00589982130555198,Permutation importance (test RMSE),7
CU,XGBoost,hdl_last,0.007073053604704888,0.00510245523074204,Permutation importance (test RMSE),8
CU,XGBoost,apoe_missing_last,0.005412915792291889,0.006041599473538032,Permutation importance (test RMSE),9
CU,XGBoost,casi_verbal_fluency_max,0.00511349257060551,0.004281584025856828,Permutation importance (test RMSE),10
CU,XGBoost,gender_last,0.0047369562455321255,0.009638941426286787,Permutation importance (test RMSE),11
CU,XGBoost,casi_attention_std,0.004215727186054052,0.0016100128393129929,Permutation importance (test RMSE),12
CU,XGBoost,mmse_mean,0.0036334943907734675,0.0038118763959675327,Permutation importance (test RMSE),13
CU,XGBoost,hdl_std,0.003314456837014035,0.0016572284185070174,Permutation importance (test RMSE),14
CU,XGBoost,mmse_max,0.0030056912933378145,0.0022910601492798603,Permutation importance (test RMSE),15
CU,XGBoost,casi_short_term_memory_mean,0.0027115380120692366,0.005309866584535093,Permutation importance (test RMSE),16
CU,XGBoost,casi_abstraction_std,0.00248137330570774,0.012831746707877663,Permutation importance (test RMSE),17
CU,XGBoost,hyperlipidemia_last,0.0019726422038736425,0.007395542782790207,Permutation importance (test RMSE),18
CU,XGBoost,education_mean,0.0016467901836000997,0.0014377243579858105,Permutation importance (test RMSE),19
CU,XGBoost,hdl_missing_last,0.0016261942459809442,0.0016579433517118687,Permutation importance (test RMSE),20
non-AD,Random Forest,mmse_last,0.026736677178611924,0.011754534392657638,Permutation importance (test RMSE),1
non-AD,Random Forest,mmse_min,0.021357298991383326,0.009696457109757096,Permutation importance (test RMSE),2
non-AD,Random Forest,mmse_mean,0.01869888486775094,0.010369436798194902,Permutation importance (test RMSE),3
non-AD,Random Forest,casi_total_last,0.00784919283037871,0.004472036924133652,Permutation importance (test RMSE),4
non-AD,Random Forest,mmse_max,0.006147738299745925,0.003237299514020378,Permutation importance (test RMSE),5
non-AD,Random Forest,casi_language_min,0.004864424276199314,0.0028535258146499486,Permutation importance (test RMSE),6
non-AD,Random Forest,casi_language_mean,0.004237316294573928,0.0038542774319757513,Permutation importance (test RMSE),7
non-AD,Random Forest,casi_abstraction_min,0.003940455652715713,0.0019383312060755988,Permutation importance (test RMSE),8
non-AD,Random Forest,casi_total_min,0.003824295687954146,0.003931737408953017,Permutation importance (test RMSE),9
non-AD,Random Forest,casi_total_mean,0.0029548282426389875,0.004801900966233399,Permutation importance (test RMSE),10
non-AD,Random Forest,casi_orientation_mean,0.0027921143381763993,0.0020220229311705214,Permutation importance (test RMSE),11
non-AD,Random Forest,casi_mental_manipulation_mean,0.0026719417784182133,0.002522353401384671,Permutation importance (test RMSE),12
non-AD,Random Forest,casi_language_last,0.002280955512195007,0.0011760792487330758,Permutation importance (test RMSE),13
